user_input,reference_contexts,reference
"Can you provide detailed information about the PROSPECTBOSS SALES TEAM, including contact details and any relevant resources such as the N.E.P.Q. Black Book of Questions, to assist in strategic questioning techniques?",[' \n  \nPROSPECTBOSS \nPROSPECTBOSS SALES TEAM \n912.491.2497 \nmary@prospectboss.com \nN.E.P.Q. BLACK BOOK OF QUESTIONS \n'],"The PROSPECTBOSS SALES TEAM can be contacted at 912.491.2497 or via email at mary@prospectboss.com. Additionally, there is a resource called the N.E.P.Q. Black Book of Questions available to support strategic questioning techniques for sales professionals."
What do NEURO-EMOTIONAL PERSUATION QUESTIONS do for you?,"["" \n \n  2 \n \nWHAT NEPQ (NEURO-EMOTIONAL PERSUATION QUESTIONS) DO FOR \nYOU? \n \nLet's explore the numerous benefits that NEPQ Questions (the New Model of Selling) \ncan bring to you. \n \nFirst, questions gather, analyze, and diagnose. They help uncover what their \nproblems are, if any, and find out if they want to change their situation. They also help \nanalyze and diagnose problems, their causes, and how these have affected prospects.  \n \nQuestions involve the other person. It makes them feel that they are part of the \nprocess. When they answer you and you listen and respond to their answers by asking \nadditional questions to go deeper in the conversation, you will gain more understanding. \nAnd they will feel that their ideas, comments, and concerns are respected and validated.  \n \nQuestions internally persuade your prospect. By answering your skilled questions, \nyour customers experience a very powerful internal motivator that will make them \nautomatically feel like taking action now instead of ‘someday’. You don’t have to try and \npersuade them anymore. Just ask your NEPQ skilled questions that I will give you \naccess to and then listen. You can literally “ask and listen” people into buying from you.  \n \nQuestions put you in complete control of the conversation. Not for power or \nmanipulation, but for you to keep the sales conversation on the right path. Questions \nserve as a strategic tool, enabling you to guide discussions purposefully and ensure \nthey align with your intended objectives. By employing thoughtful questioning, you can \nshape the flow of the conversation, gather essential information, and foster a more \ncollaborative and effective exchange with your audience. \n \nQuestions persuade the other person. By asking easy to answer questions, your \nprospect not only tells you what their problems are, why they have those problems \n(what caused them), and how these are affecting them, but most importantly, they are \ntelling themselves!  \n \nTheir answers can give them a different perspective on why they keep allowing their \nproblems to happen. And these answers internally motivate them to want to change \ntheir situation.  \n \nYour questions empower your potential customers to get in touch with their emotional \nfeelings about their present circumstances and want to do something about it. They will \nwant to change, and they will want to make that change with YOU. They now view you \nas a ‘trusted authority’. \n ""]","NEURO-EMOTIONAL PERSUATION QUESTIONS help gather, analyze, and diagnose prospects' problems, causes, and effects, making prospects feel involved and validated. They internally persuade prospects by motivating them to take action, put the salesperson in control of the conversation, and persuade the prospect by revealing their problems and emotional reasons for change, ultimately empowering the prospect to want to change and view the salesperson as a trusted authority."
How do your prospects benefit from engaging in strategic questioning?,"["" \n \n  3 \n \nA good doctor follows a similar approach. Instead of simply entering the room and \nproviding a prescription (their solution), they begin by asking you questions about your \nproblem, its root causes, and its impact on you, don't they? This is because offering a \nprescription without understanding the patient's perspective would be the doctor's \nsolution, not the patient's. By posing questions, the patient, who responds to the \ndoctor's questions, can share the details, including the circumstances and the nature of \ntheir pain. \nThe patient knows what their symptoms are, but they might not know the solution to \ntheir problem, but the doctor will. The patient feels like they are part of the process and \nbecause of that will more than likely accepts the prescription (solution) the doctor gives \nthem. \n \nIt can be the exact same thing with you, once you break the ‘old model’ of selling and \nlearn how to communicate in the ‘new economy’. Your prospects will discuss their \nsituation with you as a ‘trusted advisor’.  \n \nThey will work with you to overcome any concerns they might have. They get to see \nproblems they never thought they had by answering your skilled questions. It makes \nthem want to move forward with you. And, at the end, they are more likely to look at and \naccept what you are offering them, and will purchase what you sell. \n \nWhat else do questions do? \n \nQuestions reveal consequences. Your questions will encourage your prospects to \nreally think about the consequences of not making a change. How will they be affected \nif they don’t do anything about solving their problems?   \n \nQuestions create value for you and your product/service. By asking the right \nquestions at the right time in the conversation, you automatically create value for who \nyou are and what you represent. Your prospects will buy into you first, and the strength \nof how much you understand them will come from listening to their answers. \n \nLet’s look at an example. Say you sell franchises and you have a booth set up at a trade \nshow. Someone comes up and asks you to Level 6 and tell them more about what you \ndo. Instead of going into a classical sales pitch, find out why they asked. Briefly answer \nthe question with your personalized introduction. This is where you tell them two to \nthree generic problems they would associate with their industry and how what you do \nhelps people solve those problems.  \n \nYou could say something like this:   \n“Well, you know how a lot of people nowadays are finding it harder to get by with the \ncorporate downsizing, the lack of job security, and the higher cost of living? What we do ""]","Your prospects benefit from engaging in strategic questioning because it allows them to discuss their situation as a trusted advisor, uncover problems they didn't realize they had, and see the consequences of not making a change. This process helps them feel involved, understand their issues better, and become more receptive to your solutions, ultimately making them more likely to accept and purchase what you offer."
What does the concept of Level 8 imply about the way prospects internalize their problems and motivations?,"[' \n \n  5 \n \ninitiate a conversation by asking questions that reveal and delve into their \nunderstanding of the topic. \n \nIf you tell your prospects your solution outright, you can be the one who ends up owning \nthe problem and the solution. This would mean that your potential customer would be \nfar less attached, as opposed to when they feel that they are part of the process and \nthey own it. This is far less persuasive.  \n \nObserve what happens when your prospects engage in responding to your questions. \nAs they process their thoughts, they begin to internalize the information while speaking. \nThrough their answers, they actively contemplate their challenges, taking ownership of \nthe desire to address and resolve these issues. By consciously and subconsciously \ninternalizing their responses, they gain insight into and question their own beliefs, \nespecially regarding the reasons they persist in maintaining their current situation. \n \nWhen you ask these questions and people tell you their problems, Level 8 they are also \ntelling themselves why they have those problems, what’s causing those problems, and \nhow important it is for them to change their problems. \nPeople will start saying to themselves things like: “Gosh, why do I keep putting off \nbuying life insurance for my family?” or ""Why do I keep investing my money with this \nfirm? Maybe I should look at what this guy is going over with me. Maybe I could \nprobably get a higher return?” or ""Why do I keep commuting to work an hour each way \nwhen I could be like this lady working from my home?"" or “Wow, why do I keep \nadvertising my business this way when I could be getting leads that have higher \nconversions for my sales team? ”  \n \nThey will keep questioning themselves. “What’s preventing me from doing this? What’s \nholding me back?” They will question why they allow themselves to stay in that same \nsituation. Then, they will start to think about doing something to change their situation. \nWhen your potential clients get to this point, because of your questioning skills, they will \nstart to persuade themselves that they are ready to make that change now—not in 6 \nmonths or a year, but NOW. \n \nWhich kind of persuasion is more powerful? When your prospect persuades themselves \nto wanting to make a change with you, or when you try to persuade them to make a \nchange with you? I think you know the answer by now. \n \nWhen someone persuades themselves, they’re INTERNALLY motivated—or motivated \nby their reasons. There’s a big difference between internal and external motivation. Do \nyou know what the difference is? Externals tend to wear off, right? It’s like jumping in \nthe shower and getting all wet, but then you get out and dry off quickly. But internal \nmotivation NEVER dies. Do you see the difference there? ']","Level 8 refers to the process where prospects, through responding to questions, internalize their problems, reasons, and the importance of change. They start questioning themselves about their issues, what causes them, and why they persist, which leads them to consider making a change immediately. This internal reflection makes them more motivated to act because they persuade themselves, and internal motivation is described as being more powerful and enduring than external motivation."
How do you become a trusted authority?,"[' \n \n  6 \n \n \nSo, later in the sales conversation, after you’ve listened... You can suggest that you \nmight know of a solution that could take care of their problems or help them get where \nthey are wanting to go in their lives. Do you think most of your potential customers \nwould be open to listening to you? Of course they will, and you know what?  \n \nA very interesting thing will happen. Your potential client will like you. Prospects will \nstart calling you back and chasing you rather than you chasing them. The reason for \nthis is you have become what I call a “trusted authority”, or “trusted advisor” in their \neyes. Because for the first time in a long time they know that you are genuinely \ninterested in them and what they are looking for. You’re not just another salesperson \ntrying to stuff your solution down their throat. \n \n \n \n \n \n \n \n \n \n \n  ']","You become a trusted authority by listening to potential clients, suggesting solutions that address their problems or goals, and showing genuine interest in their needs, which makes prospects like you and start calling you back."
"Do you feel like this could be the answer for you, though, because you think it will help you, right?","[' \n \n  10 \n \n“What are you going to do if nothing changes if you keep using the same \nproduct/service you are using now for the next 5-10 years?” \n \nQUALIFYING QUESTIONS  \nHow important is it for them to change their situation? Ask 1-2 of these normally during \nyour conversation, depending on the answers they are giving back to you.  \n \n“How important is it for you to change your situation and start...?”   \n“Why is that important to you now, though?”  \n“How would that make you feel to do that?”  \n“How important is it for you to solve this problem?” \n“How do you see this being beneficial to you and your company?”  \n“What are some ways this could help you?” \n“If you could... what would it do for you personally?” \n \nTRANSITION QUESTIONS  \n \n“Based on what you told me, what we are doing might actually work for you because \nyou know how you said…” (plug in their logical problem)  \n \n“... and because of that, it’s making you feel..."" (plug in their emotional problems and \nfeelings.) \n“This is what we do..."" (briefly describe the advantages and benefits of how your \nsolution can solve their problem.) \n“Does that feel as if it might be what you’re looking for?”  \n“Why do you feel like it is though?”  \n \nCOMMITTING QUESTIONS  \n \nCommitment to take the next step and purchase.  \n \n“Do you feel like this could be the answer for you? Why, though?” \n“Do you feel like this could be what you are looking for? Why do you feel it is, though?” \n“Do you feel like this is something you can (have, do) that will get you where you want \nto go? Why do you feel like it is?” \n \n“Well, I don’t have anything to go over with you; it looks like we possibly covered what \nyou are looking for. Really, the next step is to make some type of arrangement for your \n(whatever you are selling), you can do wire or card, and at that point we will ... (tell them \nthe next steps after they purchase)” \n \n“Would that be appropriate, or how would you like to proceed from here?” ']","Yes, the context indicates that commitment questions are used to confirm the prospect's belief that the solution could be the right fit for them, such as asking if they feel like it could be the answer or what makes them feel that way. The specific question in the context is ""Do you feel like this could be the answer for you? Why, though?"" which aims to gauge their confidence and reasoning about the solution."
"How do PRE-SITUATION QUESTIONS function within a sales process, and what specific examples can you provide of these questions used in different contexts?","[' \n \n  11 \n \n \nHere are more examples of NEPQ questions you can use for different situations \nin your sales process.  \n \nPRE-SITUATION QUESTIONS  \n \nThese are used if you are in a board room or in the office of a prospect and they are \nwaiting for others to join them for the meeting. These are just normal chitchat questions, \nbut they do give you an idea of who this prospect is and more insider information on the \nactual company. These are not meant to be used in an actual sales conversation, just a \npre sales conversation. \n \n“How long have you been with the company? How has your job evolved since you \nstarted here? OR How has your responsibilities evolved since you started? “ \n \n“What do you like about your work? What don’t you like if anything?” \n \n“What would your customers say is the biggest reason why they do business with you \nover someone else? Why do you think that is?” \n \n“What would your employees say is the biggest reason they work here over working for \na competitor of yours? Why is that?” \n \nThese questions help you understand more about your prospect’s personality, how they \nfeel about the company, and the culture of the organization within a few minutes. \n \n \nPAST SITUATION QUESTIONS  \n \nAsking questions about the past is a great way to understand your prospect’s behaviors \nand priorities. These questions allow you to understand how best to sell to the prospect \nand dig up their history to better understand the problems they had in the past. Past \nsituation questions can be used at any point throughout the conversation. They can be \nused in a variety of different situations, depending on what you sell. \n \nThese, along with situation questions, help you see what their past and present \nsituations look like and how they got to where they are now.  \n \n“Can you tell me some of the things you like and possibly dislike about the company \nyou’re using now?” \n \n“What’s some of the possible hurdles you’ve had in the past to solve this problem?” ']","PRE-SITUATION QUESTIONS are used if you are in a board room or in the office of a prospect and they are waiting for others to join them for the meeting. These are just normal chitchat questions, but they give you an idea of who this prospect is and more insider information on the actual company. Examples include asking how long they have been with the company, how their responsibilities have evolved, what they like or dislike about their work, why their customers choose them over competitors, and why their employees work there. These questions help you understand more about your prospect’s personality, how they feel about the company, and the organization’s culture within a few minutes."
"How does data security impact your company's overall operations and financial performance, and what are the specific challenges you face in ensuring its effectiveness?","[' \n \n  13 \n \n“What’s your biggest obstacle you’re facing right now that’s preventing you from solving \nthis problem?” \n \n“What areas do you want to improve if you could?” \n \n“How much do you think this problem is costing you in lost revenue/sales?” \n \n“Can you tell me what your biggest priorities are for this year within ________? (you \nwould fill in the blank with what is relevant in that conversation.)” \n \n“Can you tell me what your biggest priorities are for this year with your data security? (If \nyou sold data security systems.)” \n \n“If you could change one thing about your current vendor, what would that be? Why is \nchanging that important to you though?” \n \n“How is this problem affecting your company’s sales? Production? Profitability? \nScheduling?” \n \n“How is the problem affecting your bottom line? In what way?” \n \n“When you have these problems, how much does it cost you to fix them? Tell me more “ \n“Have you lost clients because of these issues? How much were those clients worth to \nyou financially?” \n \n“How are these issues affecting other areas of your business?” \n \n“How much time are you spending each day dealing with this problem? If you were able \nto solve it, what would you be able to do? What would that mean to you to do that?” \n \n“How many employees are having to deal with this problem? How much is it costing you \nto train and employ these people?” \n \n“Have people in the company left over these issues? Do you want to change that? Why \nnow, though?” \n \n“How much does it cost to hire and train a new employee? How long does it take to train \na new person to be able to do his/her job effectively?” \n \n“How much does that cost you in lost time? What areas of your business is this \naffecting? Which one the most? In what way? Has it had an impact on you?” \n ']","The context includes questions about how data security issues affect various aspects of a business, such as sales, profitability, and other areas. It also addresses the costs associated with fixing these problems, losing clients, and the impact on employees and training. These questions aim to understand the significance of data security challenges and their consequences on the company's operations and bottom line."
Vendors how they compare to others?,"[' \n \n  14 \n \nQUESTIONS TO DISRUPT VENDOR RELATIONSHIPS  \n \nVendors = Competitor Agents, Representatives, Companies, etc. \n \n“Can I ask how your ideal situation compares to what you have now with this vendor \nyou are using?” \n \n“You’ve already reached big numbers and milestones; tell me where do you want to go \nfrom here in terms of future improvements in..."" \n \n“Back when you chose to work with that company (current Level 20 vendor), what was \nyour selection criteria if, I could ask? In what ways has that (criteria) changed as you \nlook at your needs today though? Can I ask what you’d change if you could?” \n \n“So to me, it sounds like things are going fairly well for you with what you’re using now; \nis there anything you would change about if you could?” (plug in what they currently use \nnow) \n \nExample: So, Nancy, to me, it sounds like things are going fairly well with what you are \nusing now. Is there anything you would change about your processing if you could? (if \nyou sold merchant processing) \n \n“If you could change one thing about who you use now, what would that be?” \n \n“Can I ask in what ways your vendor could do better for you than what they are doing \nnow?” \n \nQUESTIONS TO KEEP CUSTOMERS  \n \nThese questions help you keep track of your relationship with your clients. When asking \nthem, depending on the answers, they will let you know if you are in danger of losing \nthem or if the relationship is strong. \n \n“How do you feel we are helping you the most? Why, though?“ \n \n“What type of changes do you feel we could make to help you achieve even greater \nresults?” \n \n“What goals would you like to see us help you achieve within the next quarter/year?” \n \n“How do you see us being different than your former vendor you were working with? \nWhy do you feel like we are, though?” ']","Vendors are defined as competitor agents, representatives, companies, etc. The context includes questions like asking how the ideal situation compares to the current vendor, what changes they would make if they could, and in what ways their vendor could do better. These questions aim to disrupt vendor relationships and understand their needs and satisfaction levels."
"How do decision making questions in NEPQ techniques help prospects shift from focusing on price to valuing results, and can you provide examples of such questions used in sales conversations?","[' \n \n  18 \n \nProspect: The new CEO wants us to reduce costs in our department by close to 10% \njust this year, but we have found this very challenging to do and keep up with bringing \non new business.  \n \nClarifying question: When you say challenging, what do you mean by that? The word \nchallenging is a word that represents the aggravation of not being able to achieve a \ngoal.  \n \nThis clarifying question can help the customer vent their emotions/feelings and specific \nissues that help them relive that pain, which in turn opens them up to wanting to solve \nthat pain and do that with you. \n \n \n \n \nDECISION MAKING QUESTIONS  \n \nThese NEPQ questions help your prospects shift from the “lowest price” way of thinking \nto “results” based thinking. By using these questions, it gets them to look at the value of \nyour solution for solving their problems (getting results) over lower prices solutions that \nmight not solve the problems they have. Value always outweighs price if you can pull \nout emotion from your potential customer. \n \n“Can you walk me through the criteria you use when picking a company to solve these \nissues you have talked about?” \n \n“How do you measure success with who you use now? (current vendor)” \n \n“Let’s suppose you are looking at several different companies who all meet your criteria, \nincluding price. How would you then decide what to do?” \n \n“You had mentioned that the most important thing to you is cost; can I ask how that \ncompares to you actually getting results and being able to solve this problem?” \n \n“Let’s suppose we were able to make these changes for you and get you that type of \nincrease in profitability. What would you do with all the extra profit? What would that do \nfor you personally, though?” \n \n“You had told me that your company has budgeted ______ to fix this problem. Can I ask \nhow that was determined?” \n \n“Do you feel the budget you have been given is sufficient to solve this problem?” ']","These NEPQ questions help prospects shift from the “lowest price” way of thinking to “results” based thinking by encouraging them to consider the value of your solution for solving their problems and achieving results over lower-priced options. By using these questions, you get prospects to look at the benefits and emotional impact of your solution, making value outweigh price. Examples of decision making questions include: “Can you walk me through the criteria you use when picking a company to solve these issues you have talked about?”, “How do you measure success with who you use now? (current vendor)”, “Let’s suppose you are looking at several different companies who all meet your criteria, including price. How would you then decide what to do?”, “You had mentioned that the most important thing to you is cost; can I ask how that compares to you actually getting results and being able to solve this problem?”, “Let’s suppose we were able to make these changes for you and get you that type of increase in profitability. What would you do with all the extra profit? What would that do for you personally, though?”, “You had told me that your company has budgeted ______ to fix this problem. Can I ask how that was determined?”, and “Do you feel the budget you have been given is sufficient to solve this problem?” These questions focus on emotional and result-oriented aspects, helping prospects see the true value of your offering."
